source,target,weight
0,1,10
0,4,13
0,9,61
0,10,74
0,14,23
0,17,62
0,20,47
0,21,57
0,25,71
0,27,45
0,28,81
0,31,91
0,32,54
0,33,13
0,35,66
0,36,46
0,40,51
0,43,31
0,57,37
0,58,17
0,61,33
0,72,13
0,73,94
0,78,27
0,84,65
0,89,98
0,92,38
0,101,90
0,104,12
0,113,23
0,114,19
0,115,5
0,121,49
0,124,21
0,125,98
0,126,75
0,128,79
0,129,51
0,132,1
0,133,14
0,135,53
0,136,28
0,141,84
0,144,53
0,145,47
0,148,7
0,151,26
0,152,66
0,153,25
0,155,22
0,159,69
0,163,64
0,169,18
0,170,49
0,179,1
0,180,53
0,182,20
0,186,32
0,193,51
0,196,5
0,197,92
0,199,17
0,204,80
0,205,39
0,210,84
0,219,16
0,221,81
0,222,43
0,224,12
0,230,45
0,235,23
0,237,89
0,238,7
0,239,67
0,248,76
0,249,6
0,250,90
0,255,34
0,258,69
0,260,59
0,261,52
0,263,3
0,264,11
0,267,60
0,268,72
0,269,49
0,271,78
0,276,30
0,277,39
0,279,77
0,281,37
0,282,89
0,284,46
0,288,64
0,292,44
0,293,59
0,299,43
0,302,7
0,303,52
0,304,73
0,321,13
0,322,78
0,323,55
0,324,76
0,326,20
0,327,10
0,329,90
0,333,72
0,336,31
0,338,1
0,343,49
0,346,54
0,348,21
0,350,23
0,358,84
0,360,80
0,363,99
0,364,45
0,373,28
0,374,46
0,378,88
0,380,9
0,381,22
0,382,77
0,387,48
0,388,64
0,395,13
0,398,49
0,403,77
0,405,23
0,406,91
0,409,89
0,423,24
0,424,35
0,425,64
0,428,35
0,433,97
0,435,34
0,439,11
0,442,3
0,453,38
0,455,36
0,458,34
0,461,53
0,462,99
0,463,5
0,465,3
0,466,94
0,468,25
0,472,85
0,473,34
0,475,56
0,477,55
0,488,95
0,489,16
0,491,54
0,497,5
0,504,30
0,511,56
1,4,18
1,5,65
1,6,34
1,18,57
1,22,77
1,46,69
1,50,23
1,54,26
1,60,13
1,67,18
1,68,65
1,70,30
1,71,64
1,77,30
1,81,17
1,83,42
1,85,70
1,89,74
1,93,90
1,100,66
1,102,59
1,108,73
1,110,84
1,111,53
1,115,51
1,119,97
1,122,31
1,123,44
1,124,7
1,127,92
1,128,32
1,135,22
1,137,29
1,141,33
1,142,63
1,146,64
1,152,22
1,162,72
1,164,29
1,165,36
1,167,71
1,169,1
1,173,67
1,174,79
1,176,33
1,177,71
1,178,68
1,179,65
1,180,87
1,190,40
1,191,64
1,198,51
1,201,82
1,209,18
1,211,49
1,215,50
1,216,39
1,221,82
1,224,42
1,228,7
1,230,97
1,232,35
1,233,93
1,237,3
1,243,69
1,250,25
1,260,59
1,261,34
1,264,63
1,267,63
1,271,64
1,277,3
1,281,41
1,291,36
1,305,42
1,306,74
1,310,80
1,313,37
1,314,83
1,316,68
1,317,86
1,318,45
1,321,54
1,322,87
1,325,44
1,327,25
1,331,66
1,344,31
1,345,9
1,354,42
1,357,10
1,358,67
1,360,73
1,361,9
1,381,20
1,402,88
1,405,11
1,406,86
1,407,43
1,410,74
1,412,24
1,423,7
1,424,93
1,426,47
1,427,86
1,428,54
1,434,24
1,442,2
1,446,78
1,447,12
1,448,90
1,454,48
1,457,70
1,460,7
1,462,93
1,465,42
1,470,9
1,474,76
1,478,60
1,483,35
1,488,51
1,489,25
1,492,51
1,493,17
1,499,31
1,501,14
1,503,31
1,504,6
1,509,77
1,2,80
2,4,47
2,13,74
2,14,24
2,15,90
2,16,8
2,21,9
2,22,71
2,26,38
2,27,79
2,30,29
2,31,3
2,37,69
2,39,37
2,40,66
2,43,66
2,44,11
2,46,12
2,48,18
2,49,53
2,50,76
2,51,2
2,55,57
2,57,60
2,77,36
2,79,84
2,80,6
2,83,73
2,84,13
2,88,46
2,96,45
2,99,24
2,101,19
2,103,28
2,108,80
2,112,42
2,114,1
2,118,98
2,132,33
2,134,9
2,136,59
2,137,46
2,138,5
2,139,28
2,142,2
2,148,92
2,150,70
2,153,52
2,162,72
2,165,86
2,171,17
2,174,57
2,180,4
2,184,67
2,186,49
2,196,31
2,202,74
2,204,99
2,205,57
2,206,24
2,207,96
2,211,64
2,212,40
2,216,34
2,223,92
2,229,70
2,233,22
2,244,59
2,246,75
2,253,31
2,254,97
2,257,47
2,267,77
2,270,21
2,273,5
2,280,55
2,281,53
2,283,55
2,285,87
2,286,39
2,287,83
2,288,40
2,291,97
2,297,6
2,299,5
2,301,46
2,306,95
2,308,81
2,309,21
2,311,6
2,316,95
2,320,5
2,322,16
2,324,42
2,329,12
2,330,43
2,336,94
2,339,69
2,340,44
2,342,96
2,348,48
2,350,36
2,351,33
2,352,56
2,353,86
2,358,53
2,367,91
2,368,11
2,370,14
2,373,38
2,374,75
2,379,36
2,381,34
2,386,55
2,389,87
2,394,50
2,398,35
2,399,50
2,401,23
2,402,45
2,421,77
2,424,31
2,432,75
2,434,91
2,447,43
2,448,15
2,450,73
2,452,70
2,453,96
2,460,34
2,461,68
2,464,17
2,469,49
2,470,7
2,472,24
2,473,30
2,474,14
2,476,51
2,477,62
2,478,35
2,485,92
2,489,54
2,493,79
2,497,33
2,503,74
2,504,49
2,505,38
2,507,20
2,508,64
2,509,64
2,510,90
2,3,2
3,7,58
3,9,56
3,11,70
3,12,11
3,14,13
3,16,75
3,18,75
3,20,44
3,21,51
3,26,15
3,27,47
3,29,40
3,33,40
3,34,24
3,35,4
3,42,13
3,63,20
3,66,9
3,69,93
3,80,40
3,84,58
3,89,78
3,90,55
3,91,35
3,94,85
3,98,75
3,101,41
3,106,70
3,111,63
3,112,9
3,117,99
3,119,45
3,120,6
3,124,40
3,129,3
3,137,5
3,139,6
3,140,76
3,142,97
3,149,88
3,151,27
3,152,41
3,155,40
3,158,71
3,159,56
3,160,18
3,163,55
3,164,29
3,167,21
3,168,74
3,169,61
3,170,37
3,171,9
3,173,66
3,174,37
3,175,84
3,177,46
3,182,48
3,183,63
3,186,42
3,187,92
3,189,41
3,192,53
3,194,13
3,195,26
3,196,100
3,202,60
3,203,70
3,205,71
3,208,79
3,209,34
3,210,15
3,212,40
3,213,29
3,214,31
3,215,74
3,224,86
3,229,77
3,230,36
3,242,6
3,243,25
3,244,7
3,248,14
3,251,90
3,252,25
3,254,26
3,256,6
3,265,83
3,266,6
3,270,31
3,280,16
3,282,38
3,283,48
3,286,48
3,287,29
3,292,54
3,295,38
3,296,34
3,297,26
3,300,67
3,301,56
3,315,40
3,316,29
3,318,33
3,319,82
3,320,37
3,322,72
3,327,65
3,329,72
3,335,56
3,338,86
3,339,32
3,342,72
3,343,13
3,353,74
3,354,35
3,357,55
3,358,41
3,362,72
3,366,87
3,368,46
3,371,67
3,388,100
3,390,89
3,392,31
3,400,5
3,404,82
3,406,70
3,413,25
3,416,1
3,422,44
3,424,35
3,425,67
3,427,49
3,432,62
3,433,40
3,436,64
3,444,73
3,449,54
3,450,45
3,451,25
3,453,20
3,462,19
3,464,16
3,467,45
3,470,35
3,471,66
3,477,70
3,479,19
3,483,63
3,485,64
3,489,57
3,490,26
3,495,35
3,501,70
3,502,66
3,505,39
3,507,98
3,510,82
3,511,84
3,4,18
4,5,68
4,6,54
